id0,id1,relationship,count
3053556879,2969032581,mentioned,1
2550962437,2678629280,reply-to,1
3076709458,2793245421,reply-to,1
2712118394,2543739436,reply-to,1
3064596995,21700435,mentioned,3
915370620,2211011073,reply-to,1
581260530,549217987,reply-to,3
2522946086,2902992522,mentioned,1
2786424729,2886198939,reply-to,2
2917831436,2899404227,reply-to,1
2200242956,31943911,mentioned,1
1375664096,496703327,reply-to,1
1205300324,438551314,reply-to,1
2881359582,2902992522,mentioned,2
1490566874,19741778,mentioned,2
345776206,1217286588,reply-to,1
785767908,1388295048,reply-to,1
2746905999,2564279666,reply-to,1
2495608604,2754672875,reply-to,1
872650686,28491592,mentioned,4
2313235804,545075817,reply-to,14
2960716202,2884983352,reply-to,1
907991706,20741388,mentioned,2
20741388,19741858,mentioned,2
436207450,587782443,reply-to,1
2391837053,2390420994,mentioned,5
1413761539,2203640468,reply-to,12
2932045434,622090858,mentioned,1
1347407940,556961842,reply-to,1
3035288194,2790877298,reply-to,3
520667211,2964874641,reply-to,9
2747144492,2804783927,mentioned,1
2684238870,873722743,mentioned,6
21395879,21700435,reply-to,3
2754672875,2945391127,reply-to,1
2710325050,2462565707,reply-to,1
2730212033,2649031446,mentioned,1
1061634667,2871787100,reply-to,2
3048364917,3060325073,reply-to,47
2337413886,535782808,reply-to,2
2724612664,2548680692,reply-to,1
1222881480,1498721216,reply-to,10
2511575586,2235146064,reply-to,2
1272500016,249033421,reply-to,1
38001218,2196647034,reply-to,1
320154349,1110287659,reply-to,1
2615278179,2355655372,reply-to,1
636119841,34449129,mentioned,14
1423960525,2161314089,mentioned,2
1109782843,2365779632,reply-to,2
1734176052,976849022,mentioned,2
2159169763,2157667283,mentioned,1
3063325095,2615278179,reply-to,4
2729554597,1405190394,mentioned,2
2544820309,2686915602,reply-to,1
1492569428,2265058604,reply-to,5
2200242956,2409393692,mentioned,1
1487362622,71662669,reply-to,1
1447001018,572103841,mentioned,4
507307310,131224207,mentioned,2
376275278,15868533,mentioned,3
1458970754,2181777332,mentioned,1
2992082472,2410880032,reply-to,2
2865929142,1264361810,mentioned,1
2250861852,393887721,reply-to,1
30015139,16192111,reply-to,2
2899218675,1586355018,reply-to,1
2950649146,2937301276,reply-to,1
636596002,1087002326,mentioned,1
2760921472,2698330634,reply-to,1
1692004315,2465830805,reply-to,1
2239691040,2958976272,mentioned,1
2275237666,2902992522,reply-to,1
2607536108,253008760,reply-to,1
1025588635,1272500016,mentioned,1
2235438835,21700435,reply-to,4
2457471739,922341182,mentioned,2
102029866,213031586,reply-to,2
1598801928,3048364917,mentioned,2
996552967,862154029,reply-to,1
2876305923,2175109904,reply-to,1
173955306,764262036,reply-to,1
2566146384,2850300405,reply-to,4
1477998709,2902992522,reply-to,1
2733576793,1727080466,reply-to,1
3124489851,2615278179,reply-to,4
2942905060,1617151214,reply-to,1
609320639,2203050737,reply-to,13
2337413886,1620008569,reply-to,8
3011108529,2987169382,reply-to,1
2860726682,2879920904,reply-to,3
158461099,28491592,mentioned,1
1440902882,2548897788,mentioned,1
604796662,580170650,reply-to,5
232444717,233068578,reply-to,5
2220028958,1375664096,reply-to,7
2211011073,126710614,mentioned,1
19741778,91373188,mentioned,1
38076933,129644027,mentioned,2
3048299234,556827276,reply-to,1
2762402950,549217987,reply-to,56
2214937235,2965159287,mentioned,1
1708267536,1729051645,reply-to,1
2332669494,2362477976,reply-to,1
970183279,549217987,reply-to,3
2435585468,2755886809,reply-to,1
2658396096,2350730738,reply-to,1
52322011,46508855,mentioned,4
2416453640,2260935245,reply-to,4
1032964736,580170650,reply-to,3
2836473335,1223476910,mentioned,26
28805729,1436549760,mentioned,1
2575631906,2572335036,reply-to,1
2558487041,3025464477,mentioned,1
3081161019,2992082472,reply-to,1
2752663556,158461099,reply-to,6
2654661861,2839446221,reply-to,2
3043485796,2674599800,reply-to,1
831840926,597104420,reply-to,1
3109717200,3108671443,reply-to,6
1222881480,21752467,reply-to,1
2891155825,763256432,reply-to,2
3026609308,2973701782,reply-to,1
2211011073,185017873,mentioned,1
38076933,1586861480,reply-to,1
2654747130,2975412119,reply-to,2
3014145779,2865761030,reply-to,1
2198974326,1410931411,reply-to,4
1215250068,2198647110,reply-to,1
636119841,586575977,reply-to,1
2543630830,2781629009,reply-to,1
222216222,2416878060,reply-to,3
809938064,2956349634,reply-to,1
2548897788,2387272225,mentioned,1
