The number of nodes: 3513
The number of nodes: 3513
The number of nodes: 3513
The number of edges: 17227
The number of self-loop: 0
The in-degree and out-degree of nodes
Node 	 In-degree 	 Out-degree
1940990198 	 21 	 30
27910684 	 1 	 13
2749791742 	 0 	 1
3034767184 	 0 	 1
273437243 	 0 	 7
1243989192 	 13 	 4
1148631102 	 2 	 4
823776600 	 24 	 9
1080569088 	 0 	 6
2945300859 	 1 	 1
2171221659 	 0 	 1
1284096710 	 0 	 3
605728170 	 2 	 1
2901983343 	 4 	 2
2302917621 	 1 	 0
396841251 	 0 	 3
1329497268 	 0 	 4
1895670512 	 0 	 1
312963709 	 1 	 1
979186782 	 1 	 4
3054478538 	 0 	 11
1261239666 	 14 	 9
1468886311 	 2 	 27
2251889618 	 1 	 7
2739436903 	 0 	 1
31216084 	 168 	 583
213031586 	 1 	 12
2920121289 	 0 	 6
1346561412 	 0 	 1
1075421527 	 124 	 346
1500284598 	 0 	 4
704369580 	 0 	 1
976849022 	 8 	 2
2942576517 	 2 	 2
2468269830 	 16 	 3
2584217033 	 1 	 2
2276849961 	 7 	 3
1584209269 	 0 	 15
2931470063 	 2 	 1
1061634667 	 0 	 7
592109858 	 1 	 2
423116142 	 4 	 4
2253906258 	 1 	 0
2773868667 	 0 	 1
717205588 	 16 	 67
1529213676 	 17 	 7
2235146064 	 14 	 3
3019195853 	 18 	 0
2924368089 	 5 	 13
2166253636 	 2 	 5
2198647110 	 92 	 59
2396852748 	 1 	 2
3102510248 	 1 	 2
84589544 	 0 	 1
824268396 	 0 	 1
2822993704 	 1 	 1
1674516554 	 13 	 3
2997865690 	 20 	 59
762598986 	 0 	 2
1110321746 	 5 	 0
34438619 	 15 	 0
2991434443 	 10 	 0
2965186032 	 3 	 0
1685756005 	 81 	 21
1671796832 	 10 	 6
1008143239 	 1 	 0
915370620 	 40 	 32
324779542 	 7 	 4
1630367371 	 1 	 0
385868753 	 10 	 24
3088859006 	 19 	 4
2336580843 	 3 	 6
2939886686 	 47 	 91
1659195750 	 0 	 2
97198239 	 43 	 0
837465980 	 0 	 1
1335133632 	 0 	 2
630334313 	 5 	 4
