The number of nodes: 4038
The number of nodes: 4038
The number of nodes: 4038
The number of edges: 28992
The number of self-loop: 0
The in-degree and out-degree of nodes
Node 	 In-degree 	 Out-degree
2765678787 	 24 	 19
1059028956 	 0 	 9
1096249652 	 36 	 12
2819604112 	 3 	 0
2872235714 	 0 	 1
2813807419 	 4 	 0
2900202563 	 20 	 0
532465771 	 1 	 15
794821652 	 0 	 1
2254676649 	 13 	 24
2997049319 	 1 	 1
1239730777 	 4 	 0
23469716 	 0 	 2
428538189 	 1 	 13
2926619406 	 1 	 0
3013633329 	 4 	 6
1187920232 	 1 	 0
3063349663 	 33 	 29
185049864 	 14 	 24
487728741 	 104 	 70
2960943219 	 18 	 24
2453853910 	 132 	 176
2810596848 	 1 	 1
595595608 	 0 	 1
604796662 	 8 	 18
2465830805 	 26 	 0
2343947875 	 0 	 3
2410638801 	 1 	 1
3026437112 	 1 	 0
1499067542 	 0 	 4
726964724 	 35 	 50
150290471 	 16 	 16
925696050 	 3 	 6
2913037232 	 3 	 6
89330165 	 3 	 1
21395879 	 179 	 112
2247581354 	 0 	 1
3010670810 	 2 	 2
1895696557 	 3 	 8
2550962437 	 89 	 120
2909674373 	 5 	 0
294450221 	 0 	 1
2978858961 	 6 	 3
2872959640 	 1 	 0
2846292221 	 0 	 1
2979133001 	 0 	 1
475098080 	 2 	 33
1109600484 	 0 	 1
129644027 	 74 	 13
630723069 	 2 	 8
2591467501 	 3 	 2
588726003 	 3 	 13
1373282454 	 37 	 0
287894847 	 1 	 2
3037567171 	 5 	 0
1167726139 	 3 	 2
2657608014 	 10 	 7
1510922130 	 1 	 0
480745139 	 120 	 97
1853083740 	 0 	 1
2701165350 	 7 	 19
1323608833 	 0 	 1
244939585 	 3 	 1
1109782843 	 444 	 424
1940990198 	 58 	 39
27910684 	 30 	 61
3006282363 	 1 	 0
2749791742 	 0 	 1
273437243 	 4 	 4
1880024862 	 1 	 1
1243989192 	 73 	 43
1148631102 	 3 	 8
823776600 	 4 	 0
1080569088 	 0 	 3
2171221659 	 0 	 1
1284096710 	 60 	 34
2531346705 	 1 	 6
2901983343 	 60 	 46
2302917621 	 1 	 1
1329497268 	 11 	 84
1895670512 	 0 	 22
312963709 	 1 	 0
767392836 	 22 	 18
3054478538 	 1 	 17
395925411 	 48 	 38
2910638663 	 13 	 16
2251889618 	 1 	 56
31216084 	 29 	 95
467065676 	 2 	 0
2920121289 	 8 	 7
2741863001 	 17 	 46
1002385230 	 0 	 1
887764362 	 0 	 11
2656589428 	 9 	 0
1514661500 	 1 	 1
704369580 	 1 	 27
976849022 	 100 	 38
2942576517 	 10 	 38
2468269830 	 94 	 71
2276849961 	 4 	 9
151498816 	 0 	 2
1584209269 	 3 	 0
249033421 	 4 	 0
1061634667 	 28 	 43
592109858 	 4 	 37
3027575316 	 0 	 14
1317677820 	 0 	 1
2253906258 	 0 	 1
2773868667 	 5 	 8
717205588 	 3 	 0
2203422900 	 5 	 7
1561400136 	 0 	 2
792476443 	 10 	 8
1022308538 	 1 	 2
3082532171 	 7 	 11
3019195853 	 2 	 0
2924368089 	 64 	 62
2166253636 	 1 	 11
2198647110 	 55 	 62
71756063 	 4 	 7
2396852748 	 9 	 32
3102510248 	 9 	 18
2763462821 	 106 	 0
824268396 	 2 	 1
2844529656 	 3 	 0
2822993704 	 0 	 1
1674516554 	 71 	 41
2997865690 	 146 	 510
762598986 	 10 	 7
3082368646 	 1 	 1
34438619 	 46 	 0
2991434443 	 25 	 0
1685756005 	 485 	 296
1671796832 	 31 	 80
2665416901 	 1 	 1
3059356617 	 0 	 1
915370620 	 9 	 33
1260575438 	 3 	 0
324779542 	 34 	 57
2959146586 	 4 	 18
385868753 	 28 	 52
2336580843 	 22 	 33
2939886686 	 2 	 2
97198239 	 5 	 0
1335133632 	 7 	 5
27816566 	 10 	 19
16192111 	 68 	 110
3087428006 	 20 	 9
1386197526 	 9 	 5
937751498 	 1 	 2
283134746 	 1 	 0
55154065 	 2 	 5
2703787545 	 2 	 1
24180105 	 8 	 0
2567880484 	 4 	 4
629741619 	 40 	 4
2756749318 	 10 	 21
1410931411 	 203 	 188
227392272 	 10 	 33
368645204 	 42 	 0
1140450025 	 0 	 1
518156339 	 13 	 37
1047089485 	 29 	 0
3023873632 	 0 	 1
346046591 	 0 	 11
2798048167 	 13 	 17
2873036937 	 16 	 0
1561695043 	 19 	 44
3035496153 	 2 	 5
1105511504 	 0 	 38
633397260 	 22 	 10
711871560 	 12 	 15
1321353174 	 11 	 24
2734355331 	 11 	 7
2936253076 	 0 	 1
2620873694 	 15 	 0
1963113289 	 301 	 309
3107026614 	 0 	 1
2208734187 	 0 	 1
3053620077 	 1 	 0
2962116005 	 31 	 60
3115715562 	 28 	 22
1676450672 	 1 	 2
62083840 	 6 	 29
482481595 	 65 	 115
1973316967 	 16 	 1
2495608604 	 68 	 137
38001218 	 192 	 38
2506739736 	 0 	 30
2326323615 	 16 	 32
828251508 	 0 	 19
1699678674 	 52 	 112
1542382298 	 1 	 2
968857844 	 15 	 0
713727168 	 28 	 34
1481635956 	 1 	 0
1155862230 	 7 	 3
2937151552 	 29 	 52
325175035 	 80 	 2
2859374235 	 3 	 4
2512920499 	 0 	 267
967054796 	 6 	 20
2904648419 	 0 	 2
2965159287 	 56 	 99
2724886479 	 8 	 8
537378311 	 5 	 0
