user,follower,type,scraped_at
251831017,273203971,0,Mon Jan 18 11:46:28 +0000 2016
414595495,273203971,0,Mon Jan 18 11:46:28 +0000 2016
1596203167,273203971,0,Mon Jan 18 11:46:28 +0000 2016
139092127,273203971,0,Mon Jan 18 11:46:28 +0000 2016
1522432736,273203971,0,Mon Jan 18 11:46:28 +0000 2016
1565206771,273203971,0,Mon Jan 18 11:46:28 +0000 2016
1586534125,273203971,0,Mon Jan 18 11:46:29 +0000 2016
1597573207,273203971,0,Mon Jan 18 11:46:29 +0000 2016
1093113722,273203971,0,Mon Jan 18 11:46:29 +0000 2016
1187773399,273203971,0,Mon Jan 18 11:46:29 +0000 2016
1682421781,273203971,0,Mon Jan 18 11:46:29 +0000 2016
457519100,273203971,0,Mon Jan 18 11:46:29 +0000 2016
777200318,273203971,0,Mon Jan 18 11:46:29 +0000 2016
848313553,273203971,0,Mon Jan 18 11:46:29 +0000 2016
486073610,273203971,0,Mon Jan 18 11:46:29 +0000 2016
996552967,273203971,0,Mon Jan 18 11:46:29 +0000 2016
1329118164,2808908655,0,Mon Jan 18 11:46:30 +0000 2016
2809064961,2808908655,0,Mon Jan 18 11:46:30 +0000 2016
996552967,2808908655,0,Mon Jan 18 11:46:31 +0000 2016
2607922947,2808908655,0,Mon Jan 18 11:46:31 +0000 2016
2796884009,2808908655,0,Mon Jan 18 11:46:32 +0000 2016
1727080466,2808908655,0,Mon Jan 18 11:46:32 +0000 2016
2747064597,2808908655,0,Mon Jan 18 11:46:32 +0000 2016
2432572717,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
2784484748,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
2147796222,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
1682421781,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
220130271,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
840907788,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
590504611,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
850218727,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
777200318,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
790889654,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
803661224,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
709564512,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
487020046,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
490380767,2808908655,0,Mon Jan 18 11:46:33 +0000 2016
1492512889,2808908655,0,Mon Jan 18 11:46:34 +0000 2016
386988166,2808908655,0,Mon Jan 18 11:46:34 +0000 2016
1581591648,2808908655,0,Mon Jan 18 11:46:34 +0000 2016
2713821854,2808908655,0,Mon Jan 18 11:46:34 +0000 2016
2750865414,2808908655,0,Mon Jan 18 11:46:34 +0000 2016
2805033207,2808908655,0,Mon Jan 18 11:46:34 +0000 2016
985030892,2808908655,0,Mon Jan 18 11:46:34 +0000 2016
619577202,2288553834,0,Mon Jan 18 11:46:35 +0000 2016
456439564,2288553834,0,Mon Jan 18 11:46:35 +0000 2016
996552967,2288553834,0,Mon Jan 18 11:46:35 +0000 2016
1704757410,2288553834,0,Mon Jan 18 11:46:35 +0000 2016
1264361810,2288553834,0,Mon Jan 18 11:46:35 +0000 2016
709755568,2288553834,0,Mon Jan 18 11:46:35 +0000 2016
486073610,2288553834,0,Mon Jan 18 11:46:36 +0000 2016
585798312,2288553834,0,Mon Jan 18 11:46:36 +0000 2016
251831017,1931338134,0,Mon Jan 18 11:46:37 +0000 2016
1677268741,1931338134,0,Mon Jan 18 11:46:37 +0000 2016
850218727,1931338134,0,Mon Jan 18 11:46:37 +0000 2016
1918910587,1931338134,0,Mon Jan 18 11:46:37 +0000 2016
1416897570,1186389506,0,Mon Jan 18 11:46:38 +0000 2016
529073966,1186389506,0,Mon Jan 18 11:46:38 +0000 2016
1867319324,1186389506,0,Mon Jan 18 11:46:38 +0000 2016
1888455480,1186389506,0,Mon Jan 18 11:46:38 +0000 2016
185418807,1635634476,0,Mon Jan 18 11:46:38 +0000 2016
244939585,1635634476,0,Mon Jan 18 11:46:38 +0000 2016
457519100,1635634476,0,Mon Jan 18 11:46:38 +0000 2016
2371231728,1635634476,0,Mon Jan 18 11:46:38 +0000 2016
1682421781,1635634476,0,Mon Jan 18 11:46:38 +0000 2016
862154029,1635634476,0,Mon Jan 18 11:46:38 +0000 2016
894161246,1635634476,0,Mon Jan 18 11:46:39 +0000 2016
1428884449,1635634476,0,Mon Jan 18 11:46:39 +0000 2016
850218727,1635634476,0,Mon Jan 18 11:46:39 +0000 2016
1601930899,1635634476,0,Mon Jan 18 11:46:39 +0000 2016
